iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
333,0.092,478.957,162.834,641.976,940,1933
334,0.083,1836.23,47.423,1883.84,944,1941
335,116.848,656.192,233.798,1006.97,946,1945
336,0.188,625.862,211.221,837.384,948,1949
337,0.136,0.187,344.734,345.176,948,1949
338,0.137,0.1,231.937,232.287,948,1949
339,0.105,0.183,256.68,257.069,948,1949
340,0.116,0.114,218.419,218.754,948,1949
341,0.153,1288.12,39.906,1328.28,952,1957
342,0.184,0.073,308.972,309.35,952,1957
343,0.13,1944.96,177.364,2122.56,956,1965
344,0.239,0.125,328.131,328.608,956,1965
345,0.095,935.279,34.652,970.12,959,1972
346,99.208,473.038,185.101,757.461,961,1976
347,0.113,0.04,320.524,320.794,961,1976
348,0.078,0.063,218.48,218.713,961,1976
349,0.1,558.339,181.491,740.023,963,1980
350,1.388,0.339,731.327,733.162,963,1980
351,0.24,0.095,380.397,380.835,963,1980
352,0.105,0.182,345.829,346.219,963,1980
353,0.108,2541.56,44.108,2585.88,968,1991
354,0.221,0.134,283.897,284.359,968,1991
355,0.105,1445.3,157.423,1602.96,973,2002
356,0.229,1611.2,49.689,1661.21,977,2010
357,0.311,0.129,205.21,205.752,977,2010
358,0.091,452.317,227.599,680.1,979,2014
359,1.034,0.2,535.504,536.839,979,2014
360,0.202,0.277,444.686,445.33,979,2014
361,0.118,2303.47,140.69,2444.38,985,2026
362,0.163,0.082,427.031,427.376,985,2026
363,0.164,1706.68,204.543,1911.49,989,2034
364,0.363,1864.34,153.503,2018.3,995,2046
365,0.264,1009.72,218.681,1228.76,997,2050
366,0.332,1383.85,166.448,1550.73,1001,2058
367,107.397,566.28,196.785,870.586,1003,2062
368,0.21,0.085,357.961,358.36,1003,2062
369,0.097,1171.63,125.86,1297.68,1007,2070
370,0.111,1707.79,189.219,1897.22,1010,2077
371,0.355,3178.14,190.419,3369.02,1018,2093
372,0.257,0.111,422.866,423.335,1018,2093
373,0.138,2360.92,46.291,2407.44,1023,2104
374,0.304,3150.47,174.561,3325.42,1031,2120
375,100.354,538.505,200.645,839.618,1033,2124
376,0.18,0.048,346.457,346.795,1033,2124
377,0.09,1201.44,38.221,1239.85,1037,2132
378,0.161,2355.56,203.487,2559.38,1042,2143
379,0.319,1480.97,42.842,1524.24,1046,2151
380,0.275,1946.37,61.723,2008.47,1050,2159
381,0.293,1186.99,46.776,1234.15,1053,2166
382,0.217,0.191,185.02,185.523,1053,2166
383,0.094,569.833,226.374,796.397,1055,2170
384,0.173,1267.67,48.85,1316.78,1059,2178
385,104.956,628.631,240.112,973.819,1061,2182
386,0.187,0.129,376.676,377.094,1061,2182
387,0.159,1140.16,279.946,1420.37,1063,2186
388,0.329,1504.57,190.327,1695.34,1067,2194
389,0.234,0.085,323.139,323.558,1067,2194
390,0.124,643.566,261.127,904.915,1069,2198
391,0.155,614.608,220.503,835.358,1071,2202
392,0.258,0.099,341.556,342.009,1071,2202
393,0.117,0.107,405.922,406.239,1071,2202
394,0.091,2223.09,46.226,2269.51,1075,2210
395,0.284,666.128,259.4,925.915,1077,2214
396,0.168,0.099,287.836,288.207,1077,2214
397,0.156,0.182,288.003,288.447,1077,2214
398,0.183,688.64,266.317,955.261,1079,2218
399,0.25,0.065,384.797,385.216,1079,2218
400,1.113,1078.47,292.311,1372,1081,2222
401,0.229,0.139,379.323,379.785,1081,2222
402,0.054,0.082,291.459,291.731,1081,2222
403,0.049,0.138,280.791,281.073,1081,2222
404,0.156,665.133,220.994,886.375,1083,2226
405,0.204,0.101,409.72,410.12,1083,2226
406,0.143,1242.86,246.767,1489.86,1085,2230
407,0.318,665.31,233.866,899.599,1087,2234
408,0.598,0.24,658.877,659.839,1087,2234
409,0.16,1637.74,46.344,1684.35,1091,2242
410,0.198,1537.23,69.891,1607.44,1095,2250
411,0.214,2198.32,184.486,2383.13,1099,2258
412,0.274,0.07,373.407,373.843,1099,2258
413,0.231,675.196,230.398,905.917,1101,2262
414,0.168,1495.9,47.842,1544,1105,2270
415,0.359,0.139,232.314,232.901,1105,2270
416,0.099,0.111,254.156,254.461,1105,2270
417,0.167,366.786,734.706,1101.76,1106,2273
418,0.284,0.166,332.616,333.174,1106,2273
419,0.1,736.204,269.331,1005.74,1108,2277
420,0.189,673.319,263.725,937.335,1110,2281
421,0.194,0.071,400.089,400.473,1110,2281
422,0.113,725.531,227.169,952.91,1112,2285
423,0.166,612.477,234.809,847.551,1114,2289
424,0.263,2141.43,251.7,2393.51,1118,2297
425,163.049,833.771,271.96,1268.92,1120,2301
426,0.185,1671.43,212.212,1883.94,1124,2309
427,0.317,1631.12,59.381,1690.92,1128,2317
428,0.253,2043.26,55.424,2099.05,1132,2325
429,0.332,1995.32,46.688,2042.44,1136,2333
430,0.354,2314.64,60.176,2375.27,1141,2344
431,127.075,1631.76,50.847,1809.8,1145,2352
432,0.241,698.274,239.245,937.854,1147,2356
433,0.261,0.07,404.175,404.6,1147,2356
434,0.18,682.551,229.028,911.858,1149,2360
435,317.646,1020.13,276.788,1614.74,1151,2364
436,0.307,0.261,329.143,329.814,1151,2364
437,0.21,0.063,508.792,509.178,1151,2364
438,0.266,0.091,502.266,502.723,1151,2364
439,0.189,762.071,304.827,1067.19,1153,2368
440,0.28,2595.15,238.351,2833.89,1159,2380
441,0.298,0.152,500.707,501.258,1159,2380
442,0.232,720.853,333.406,1054.59,1161,2384
443,0.242,0.045,337.261,337.647,1161,2384
444,349.096,2039.02,54.04,2442.26,1165,2392
445,0.298,709.503,295.623,1005.65,1167,2396
446,0.237,1523.1,195.335,1718.77,1171,2404
447,0.185,637.34,274.005,911.622,1173,2408
448,0.273,1181.97,328.502,1510.85,1175,2412
449,0.347,0.075,405.568,406.091,1175,2412
450,0.088,0.072,439.536,439.799,1175,2412
451,0.178,0.035,388.462,388.771,1175,2412
452,0.139,1659.63,218.444,1878.32,1179,2420
453,0.256,1498.23,58.492,1557.07,1183,2428
454,0.253,2058.24,59.147,2117.74,1187,2436
455,162.461,768.281,338.368,1269.25,1189,2440
456,0.288,0.143,473.716,474.252,1189,2440
457,0.193,0.059,376.291,376.648,1189,2440
458,0.172,779.533,330.829,1110.65,1191,2444
459,0.126,1677.57,252.009,1929.82,1195,2452
460,135.416,3214.78,264.155,3614.48,1201,2464
461,0.364,0.122,617.381,617.977,1201,2464
462,0.192,748.496,319.12,1067.92,1203,2468
463,0.176,0.131,416.251,416.656,1203,2468
464,128.256,676.456,295.079,1099.9,1205,2472
465,0.098,3077.06,70.438,3147.7,1211,2484
466,0.446,724.716,332.873,1058.13,1213,2488
467,0.213,726.68,298.767,1025.78,1215,2492
468,0.216,0.155,326.364,326.835,1215,2492
469,0.163,0.134,496.637,497.037,1215,2492
470,0.137,0.094,419.6,419.924,1215,2492
