iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices,cascade_activations,faces_created,edges_created,add_face_calls,update_info_calls
400,1.173,0.405,619.761,621.55,1047,2154,0,0,0,0,5
401,0.092,738.241,214.707,953.147,1049,2158,0,24,20,12,16
402,0.171,721.881,212.141,934.295,1051,2162,0,24,20,12,16
403,0.147,0.235,291.13,291.617,1051,2162,0,0,0,0,5
404,0.161,0.191,321.254,321.709,1051,2162,0,0,0,0,6
405,0.141,1534.36,41.28,1575.89,1055,2170,1,48,40,24,28
406,0.138,0.19,322.288,322.72,1055,2170,0,0,0,0,5
407,0.087,592.08,249.909,842.181,1057,2174,0,24,20,12,16
408,0.171,3128.62,186.733,3315.62,1064,2189,3,84,72,42,52
409,0.403,0.115,261.982,262.603,1064,2189,0,0,0,0,5
