iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
498,0.498,0.465,13475.9,13477.1,1359,2796
499,0.864,0.31,7319.72,7321.04,1359,2796
500,0.921,98586.9,7255.48,105843,1363,2804
501,293673,89333,143.296,383150,1367,2812
502,0.499,43742,9154.81,52897.5,1369,2816
503,0.402,0.249,13923.1,13923.9,1369,2816
504,0.316,37460.2,7362.45,44823.1,1371,2820
505,0.354,0.103,6804.93,6805.54,1371,2820
506,0.366,135063,6024.45,141088,1377,2832
507,0.435,62834.8,122.988,62958.3,1380,2839
508,0.467,0.387,15232.6,15233.6,1380,2839
509,0.614,0.154,14353.6,14354.5,1380,2839
510,0.276,99588.3,135.524,99724.2,1384,2847
511,0.965,0.366,14351,14352.5,1384,2847
512,0.768,39567.3,9001.9,48570.2,1386,2851
513,0.428,41853.4,8821.81,50675.8,1388,2855
514,293117,19240.7,4557.33,316915,1389,2858
515,0.494,0.111,15503.4,15504.2,1389,2858
516,0.432,145815,5100.12,150915,1396,2873
517,0.46,0.231,8545.29,8546.1,1396,2873
518,0.331,133520,6139.68,139660,1402,2885
519,0.282,140368,4633.35,145001,1409,2900
520,0.332,96156.1,5848.89,102005,1413,2908
521,0.535,0.101,11662.4,11663.2,1413,2908
522,0.308,0.198,10511.9,10512.5,1413,2908
523,0.225,38794.5,8253.49,47048.4,1415,2912
524,0.56,0.142,6897.09,6897.94,1415,2912
525,298886,40284.3,8657.83,347829,1417,2916
526,0.499,37935.2,8417.67,46353.6,1419,2920
527,0.582,60965.2,5322.07,66288,1422,2927
528,0.634,42604.7,7884.32,50489.8,1424,2931
529,0.915,82311.7,141.845,82454.6,1428,2939
530,0.517,38834.5,9324.31,48159.5,1430,2943
531,0.504,39438.1,9161.41,48600.2,1432,2947
532,0.393,92552.2,151,92703.7,1436,2955
533,0.421,98188.7,160.353,98349.6,1440,2963
534,0.529,45536.4,8854.44,54391.5,1442,2967
535,0.388,0.072,16004.5,16005.1,1442,2967
536,0.281,41301.7,9243.01,50545.1,1444,2971
537,0.241,41391.6,9149.26,50541.2,1446,2975
538,0.277,38140,8751.02,46891.5,1448,2979
539,0.383,37760,8547.83,46308.4,1450,2983
540,0.315,44031.4,8488.46,52520.4,1452,2987
541,0.306,41914.9,10686.9,52602.3,1454,2991
542,0.424,38917.3,8875.11,47793,1456,2995
543,0.384,39351.5,9085.29,48437.3,1458,2999
544,0.416,39677,9418.55,49096.1,1460,3003
545,0.436,42138.1,9269.79,51408.5,1462,3007
546,0.326,138477,6053.41,144531,1468,3019
547,313920,43789.5,8668.77,366379,1470,3023
548,0.544,18378.8,4857.4,23236.9,1471,3026
549,0.346,0.209,15339.9,15340.6,1471,3026
550,1.308,0.123,11766.9,11768.4,1471,3026
551,0.598,37993.2,8464.48,46458.4,1473,3030
552,0.319,41751.7,9718.93,51471.1,1475,3034
553,0.323,88213.7,6302.51,94516.7,1479,3042
554,313938,40503.4,10110.4,364552,1481,3046
555,0.987,41437.8,8865.41,50304.4,1483,3050
556,0.484,44512.6,9369.6,53882.8,1485,3054
557,0.473,85525.5,6170.45,91696.6,1489,3062
558,0.652,87257.6,157.53,87415.9,1493,3070
559,324673,89944,182.467,414800,1497,3078
560,322713,46645.8,10043.4,379402,1499,3082
561,0.384,0.257,15617,15617.8,1499,3082
562,0.356,0.247,14327.9,14328.6,1499,3082
563,0.363,0.181,8199.46,8200.15,1499,3082
564,0.345,95841,7002.96,102845,1503,3090
